,Alphas,Layers,Solvers,R2
0,1e-07,"(2, 2, 2)",lbfgs,0.141317025753806
1,1e-07,"(2, 2, 2)",adam,0.12793551339043974
2,1e-07,"(2, 2, 2)",sgd,0.13362925615788235
3,1e-07,"(2, 2, 5)",lbfgs,0.14202716365336443
4,1e-07,"(2, 2, 5)",adam,0.12727215773870793
5,1e-07,"(2, 2, 5)",sgd,-0.0001726165914290867
6,1e-07,"(2, 2, 10)",lbfgs,0.13979031638452555
7,1e-07,"(2, 2, 10)",adam,0.13054844106257235
8,1e-07,"(2, 2, 10)",sgd,0.06798392293493549
9,1e-07,"(2, 2, 20)",lbfgs,0.14208595542092162
10,1e-07,"(2, 2, 20)",adam,0.13093277224228717
11,1e-07,"(2, 2, 20)",sgd,-0.0003845944701077464
12,1e-07,"(2, 5, 2)",lbfgs,0.14750133961219813
13,1e-07,"(2, 5, 2)",adam,0.13830918715717688
14,1e-07,"(2, 5, 2)",sgd,0.07552848156651903
15,1e-07,"(2, 5, 5)",lbfgs,0.1377906106377672
16,1e-07,"(2, 5, 5)",adam,0.1238225077405084
17,1e-07,"(2, 5, 5)",sgd,0.0717358203706121
18,1e-07,"(2, 5, 10)",lbfgs,0.14547194731322388
19,1e-07,"(2, 5, 10)",adam,0.1339976450330972
20,1e-07,"(2, 5, 10)",sgd,0.05119310600116378
21,1e-07,"(2, 5, 20)",lbfgs,0.1420517443624495
22,1e-07,"(2, 5, 20)",adam,0.13338432037374137
23,1e-07,"(2, 5, 20)",sgd,0.07616982646493853
24,1e-07,"(2, 10, 2)",lbfgs,0.14014892713427418
25,1e-07,"(2, 10, 2)",adam,-0.004255869856698569
26,1e-07,"(2, 10, 2)",sgd,-6.136679956769697e-05
27,1e-07,"(2, 10, 5)",lbfgs,0.13485565748818895
28,1e-07,"(2, 10, 5)",adam,0.1342414038493407
29,1e-07,"(2, 10, 5)",sgd,0.12029886423130454
30,1e-07,"(2, 10, 10)",lbfgs,0.13618376679227406
31,1e-07,"(2, 10, 10)",adam,0.13742407586746097
32,1e-07,"(2, 10, 10)",sgd,0.1276328229961824
33,1e-07,"(2, 10, 20)",lbfgs,0.1401263499341565
34,1e-07,"(2, 10, 20)",adam,0.13462634935397233
35,1e-07,"(2, 10, 20)",sgd,0.06292853404092313
36,1e-07,"(2, 20, 2)",lbfgs,0.14179802836836997
37,1e-07,"(2, 20, 2)",adam,0.13428249124668623
38,1e-07,"(2, 20, 2)",sgd,-7.465015336105552e-05
39,1e-07,"(2, 20, 5)",lbfgs,0.1410438707674524
40,1e-07,"(2, 20, 5)",adam,0.13489536309375572
41,1e-07,"(2, 20, 5)",sgd,0.04194981544250431
42,1e-07,"(2, 20, 10)",lbfgs,0.1408879089186046
43,1e-07,"(2, 20, 10)",adam,0.13749674965478564
44,1e-07,"(2, 20, 10)",sgd,0.070774050215754
45,1e-07,"(2, 20, 20)",lbfgs,0.131195875732929
46,1e-07,"(2, 20, 20)",adam,0.13433589374561317
47,1e-07,"(2, 20, 20)",sgd,0.08278120130941291
48,1e-07,"(5, 2, 2)",lbfgs,0.13624498272780394
49,1e-07,"(5, 2, 2)",adam,0.12979009053667634
50,1e-07,"(5, 2, 2)",sgd,0.1252120598636426
51,1e-07,"(5, 2, 5)",lbfgs,0.13778198993429047
52,1e-07,"(5, 2, 5)",adam,0.13204404269706393
53,1e-07,"(5, 2, 5)",sgd,-9.928412909698814e-05
54,1e-07,"(5, 2, 10)",lbfgs,0.14405883108000983
55,1e-07,"(5, 2, 10)",adam,0.13344597028931138
56,1e-07,"(5, 2, 10)",sgd,0.04596827804021497
57,1e-07,"(5, 2, 20)",lbfgs,0.13899759864148575
58,1e-07,"(5, 2, 20)",adam,0.13325241648666042
59,1e-07,"(5, 2, 20)",sgd,0.09923348761121087
60,1e-07,"(5, 5, 2)",lbfgs,0.13919468024129134
61,1e-07,"(5, 5, 2)",adam,-0.006210799747436324
62,1e-07,"(5, 5, 2)",sgd,-7.564399713611003e-05
63,1e-07,"(5, 5, 5)",lbfgs,0.13762608574526525
64,1e-07,"(5, 5, 5)",adam,0.13449583751255945
65,1e-07,"(5, 5, 5)",sgd,0.02358393819525606
66,1e-07,"(5, 5, 10)",lbfgs,0.14669207799819883
67,1e-07,"(5, 5, 10)",adam,0.13778006728504477
68,1e-07,"(5, 5, 10)",sgd,0.0073902753531203125
69,1e-07,"(5, 5, 20)",lbfgs,0.13999668561039413
70,1e-07,"(5, 5, 20)",adam,0.13590548403901748
71,1e-07,"(5, 5, 20)",sgd,0.07459659356076664
72,1e-07,"(5, 10, 2)",lbfgs,-7.473221129261631e-05
73,1e-07,"(5, 10, 2)",adam,-0.0022461013539980534
74,1e-07,"(5, 10, 2)",sgd,-8.606039616876338e-05
75,1e-07,"(5, 10, 5)",lbfgs,0.14268492330309923
76,1e-07,"(5, 10, 5)",adam,0.134332861035247
77,1e-07,"(5, 10, 5)",sgd,0.052899990818462306
78,1e-07,"(5, 10, 10)",lbfgs,0.1401213766498718
79,1e-07,"(5, 10, 10)",adam,0.13512781163849152
80,1e-07,"(5, 10, 10)",sgd,0.09749115460096947
81,1e-07,"(5, 10, 20)",lbfgs,0.1410063896007785
82,1e-07,"(5, 10, 20)",adam,0.1377806117651017
83,1e-07,"(5, 10, 20)",sgd,0.13703177514545395
84,1e-07,"(5, 20, 2)",lbfgs,0.13754263888117157
85,1e-07,"(5, 20, 2)",adam,0.13516619970755195
86,1e-07,"(5, 20, 2)",sgd,0.051890747295805895
87,1e-07,"(5, 20, 5)",lbfgs,0.14005153217555322
88,1e-07,"(5, 20, 5)",adam,0.13977382336754762
89,1e-07,"(5, 20, 5)",sgd,0.13314173040767907
90,1e-07,"(5, 20, 10)",lbfgs,0.1470224325152093
91,1e-07,"(5, 20, 10)",adam,0.1392123665435504
92,1e-07,"(5, 20, 10)",sgd,0.045789330869648204
93,1e-07,"(5, 20, 20)",lbfgs,0.12610341275027737
94,1e-07,"(5, 20, 20)",adam,0.13285663342437604
95,1e-07,"(5, 20, 20)",sgd,0.11338982408837783
96,1e-07,"(10, 2, 2)",lbfgs,0.1275211026898525
97,1e-07,"(10, 2, 2)",adam,0.13746261929013748
98,1e-07,"(10, 2, 2)",sgd,-0.00010472909901126926
99,1e-07,"(10, 2, 5)",lbfgs,0.11557216967381634
100,1e-07,"(10, 2, 5)",adam,0.11710614066470748
101,1e-07,"(10, 2, 5)",sgd,0.03580224236165552
102,1e-07,"(10, 2, 10)",lbfgs,-7.471625674537741e-05
103,1e-07,"(10, 2, 10)",adam,0.13946388714145674
104,1e-07,"(10, 2, 10)",sgd,0.10301705149563978
105,1e-07,"(10, 2, 20)",lbfgs,0.14219891938318263
106,1e-07,"(10, 2, 20)",adam,0.13522546001118374
107,1e-07,"(10, 2, 20)",sgd,0.03328435100861771
108,1e-07,"(10, 5, 2)",lbfgs,-7.47322112950588e-05
109,1e-07,"(10, 5, 2)",adam,0.135329341570133
110,1e-07,"(10, 5, 2)",sgd,0.12728380109787518
111,1e-07,"(10, 5, 5)",lbfgs,0.12715305174774116
112,1e-07,"(10, 5, 5)",adam,0.13587382986495344
113,1e-07,"(10, 5, 5)",sgd,0.11561952296613942
114,1e-07,"(10, 5, 10)",lbfgs,0.1410112272611579
115,1e-07,"(10, 5, 10)",adam,0.1384689261049339
116,1e-07,"(10, 5, 10)",sgd,0.041636528201675294
117,1e-07,"(10, 5, 20)",lbfgs,0.13770744270097057
118,1e-07,"(10, 5, 20)",adam,0.14545897087779647
119,1e-07,"(10, 5, 20)",sgd,0.1271984732652165
120,1e-07,"(10, 10, 2)",lbfgs,0.11719208452326413
